product,vendor,edition,morefields
apc_ups_daemon,apcupsd,*,*
apcupsd,apcupsd,*,*
ape_gallery,wpape,*,*
apeosport-vi,fujifilm,*,*
apeosware_management_suite,fujixerox,*,*
apeosware_management_suite_2,fujixerox,*,*
apex-publish-static-files,apex-publish-static-files_project,*,*
apex_one,trendmicro,*,saas
apex_one,trendmicro,*,*
apexcharts,fusioncharts,*,*
apfell,apfell_project,*,*
api,karotz,*,*
api_based_travel_booking,api_based_travel_booking_project,*,*
api_bearer_auth,api_bearer_auth_project,*,*
api_c\+\+_client,google,*,*
api_connect,ibm,*,*
api_developer_portal,ca,*,*
api_exchange_gateway,tibco,*,*
api_exchange_gateway_distribution,tibco,*,*
api_gateway,broadcom,*,*
api_gateway,oracle,*,*
api_gateway,mulesoft,*,*
api_management,ibm,*,*
api_manager,wso2,*,*
api_manager_analytics,wso2,*,*
api_microgatewa,wso2,*,*
api_microgateway,wso2,*,*
apiconnect-cli-plugins,apiconnect-cli-plugins_project,*,*
apisix,apache,*,*
apisix_dashboard,apache,*,*
